ticker,user,schedule,enabled,owner,domain,kind,currency,country,curve_code,tenor,quote_type,source_file
CCSWOA CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,4W,YIELD,tickers/rates.csv
CCSWOC CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,3M,YIELD,tickers/rates.csv
CCSWOF CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,6M,YIELD,tickers/rates.csv
CCSWOI CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,9M,YIELD,tickers/rates.csv
CCSWO1 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,1Y,YIELD,tickers/rates.csv
CCSWO2 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,2Y,YIELD,tickers/rates.csv
CCSWO3 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,3Y,YIELD,tickers/rates.csv
CCSWO4 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,4Y,YIELD,tickers/rates.csv
CCSWO5 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,5Y,YIELD,tickers/rates.csv
CCSWO7 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,7Y,YIELD,tickers/rates.csv
CCSWO10 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNO,,CNO-REPO-7D,10Y,YIELD,tickers/rates.csv
CCSWNIA CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,4W,YIELD,tickers/rates.csv
CCSWNIC CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,3M,YIELD,tickers/rates.csv
CCSWNIF CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,6M,YIELD,tickers/rates.csv
CCSWNII CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,9M,YIELD,tickers/rates.csv
CCSWNI1 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,CNY,,CNY-REPO-7D,1Y,YIELD,tickers/rates.csv
